ID,name,link,summit,drop,beginner runs,intermediate runs,advanced runs,expert runs,state
0,Alpental,https://www.onthesnow.com/washington/alpental/ski-resort.html,5420ft,2280ft,3,11,10,0,washington
1,Mt. Baker,https://www.onthesnow.com/washington/mt-baker/ski-resort.html,5000ft,1500ft,9,17,0,12,washington
2,Stevens Pass Resort,https://www.onthesnow.com/washington/stevens-pass-resort/ski-resort.html,5845ft,1800ft,4,24,15,10,washington
3,Eaglecrest Ski Area,https://www.onthesnow.com/alaska/eaglecrest-ski-area/ski-resort.html,2600ft,1540ft,12,14,11,0,alaska
4,White Pass,https://www.onthesnow.com/washington/white-pass/ski-resort.html,6550ft,2050ft,9,27,9,0,washington
5,Alyeska Resort,https://www.onthesnow.com/alaska/alyeska-resort/ski-resort.html,3939ft,2500ft,8,40,28,0,alaska
6,Crystal Mountain,https://www.onthesnow.com/washington/crystal-mountain-wa/ski-resort.html,7012ft,3100ft,7,27,28,25,washington
7,49 Degrees North,https://www.onthesnow.com/washington/49-degrees-north/ski-resort.html,5774ft,1851ft,27,36,22,4,washington
8,Mt. Bachelor,https://www.onthesnow.com/oregon/mt-bachelor/ski-resort.html,9065ft,3365ft,23,67,27,4,oregon
9,The Summit at Snoqualmie,https://www.onthesnow.com/washington/the-summit-at-snoqualmie/ski-resort.html,3865ft,1025ft,10,26,29,0,washington
10,Brundage Mountain Resort,https://www.onthesnow.com/idaho/brundage-mountain-resort/ski-resort.html,7640ft,1800ft,14,22,14,17,idaho
11,Grand Targhee Resort,https://www.onthesnow.com/wyoming/grand-targhee-resort/ski-resort.html,9920ft,2270ft,32,36,24,5,wyoming
12,Wolf Creek Ski Area,https://www.onthesnow.com/colorado/wolf-creek-ski-area/ski-resort.html,11904ft,1604ft,27,47,33,27,colorado
13,Bluewood,https://www.onthesnow.com/washington/bluewood/ski-resort.html,5670ft,1125ft,4,12,10,0,washington
14,Whitefish Mountain Resort,https://www.onthesnow.com/montana/whitefish-mountain-resort/ski-resort.html,6817ft,2353ft,14,43,50,7,montana
15,Sugar Bowl Resort,https://www.onthesnow.com/california/sugar-bowl-resort/ski-resort.html,8383ft,1500ft,16,47,29,13,california
16,Alta Ski Area,https://www.onthesnow.com/utah/alta-ski-area/ski-resort.html,11068ft,2538ft,18,36,65,0,utah
17,Jackson Hole,https://www.onthesnow.com/wyoming/jackson-hole/ski-resort.html,10450ft,4139ft,5,51,56,21,wyoming
18,Lookout Pass Ski Area,https://www.onthesnow.com/idaho/lookout-pass-ski-area/ski-resort.html,5650ft,1150ft,5,18,12,3,idaho
19,Anthony Lakes Mountain Resort,https://www.onthesnow.com/oregon/anthony-lakes-mountain-resort/ski-resort.html,8000ft,900ft,4,8,9,0,oregon
20,Mammoth Mountain,https://www.onthesnow.com/california/mammoth-mountain-ski-area/ski-resort.html,11053ft,3100ft,22,72,36,20,california
21,Mt. Spokane Ski and Snowboard Park,https://www.onthesnow.com/washington/mt-spokane-ski-and-snowboard-park/ski-resort.html,5889ft,2000ft,12,32,8,0,washington
22,Sun Valley,https://www.onthesnow.com/idaho/sun-valley/ski-resort.html,9150ft,3400ft,43,50,24,2,idaho
23,Hoodoo Ski Area,https://www.onthesnow.com/oregon/hoodoo-ski-area/ski-resort.html,5703ft,1035ft,7,15,11,3,oregon
24,Lost Trail - Powder Mtn,https://www.onthesnow.com/montana/lost-trail-powder-mtn/ski-resort.html,8200ft,1800ft,14,41,14,0,montana
