word,length,right,wrong,guesses,outcome
saho,4,4,8,arnlesiocdgh,LOSS
rindy,5,5,6,aeoiylndcpr,WIN 
cruck,5,4,6,aeoiurtgck,WIN 
wife,4,4,14,aeoilrsntdkvpcmbfw,LOSS
mazic,5,5,7,aeirscmfglnz,LOSS
gob,3,3,6,aotdybcfg,WIN 
embus,5,5,4,aeiotumbs,WIN 
batak,5,4,6,anlrmbhtdk,WIN 
paal,4,3,2,arlbp,WIN 
hexa,4,4,9,aoietpbvmglhx,LOSS
mowse,5,5,6,aeorlsuiwdm,WIN 
chape,5,5,5,arslehcfnp,WIN 
semic,5,5,7,aeirnltmcfhs,LOSS
alloy,5,4,5,aeornltwy,WIN 
syrt,4,4,5,aeoiuytsr,WIN 
yoi,3,3,4,aotdyei,WIN 
than,4,4,9,arlsneouhdgkt,LOSS
azury,5,5,6,aeoiudhrynz,WIN 
privy,5,5,7,aeoisrtpydmv,LOSS
siroc,5,5,3,aeoinrsc,WIN 
hock,4,4,10,aeolrtnyskcbdh,LOSS
grace,5,5,4,artcbkoeg,WIN 
host,4,4,6,aeolrtnsch,WIN 
boud,4,4,9,aeolrtnyskudb,LOSS
curvy,5,5,8,aeoiuyrlscbdv,LOSS
chirk,5,5,4,aeoisrhck,WIN 
wide,4,4,11,aeoilrsntdbfhmw,LOSS
egma,4,4,2,aoiemg,WIN 
conga,5,5,2,aiorngc,WIN 
ghost,5,5,3,aeorshgt,WIN 
grail,5,5,6,artcgepnfil,WIN 
rik,3,3,12,aoeigmptsndrbck,LOSS
cavie,5,5,7,aersnlimtbcv,LOSS
slam,4,4,5,arlsbdegm,WIN 
besom,5,5,7,aeiyonrbdfsm,LOSS
ogor,4,3,4,aeolrdg,WIN 
wired,5,5,7,aerosuidfhtw,LOSS
poet,4,4,7,aerlstkdhop,LOSS
feces,5,4,7,aerlndbmcfs,LOSS
naja,4,3,5,amrpkngj,WIN 
tum,3,3,6,aoeiugbtm,WIN 
moil,4,4,6,aeolibcfkm,WIN 
ville,5,4,4,aeoinlmv,WIN 
meg,3,3,11,aoenrtdlwygbkm,LOSS
tom,3,3,6,aotdegilm,WIN 
robot,5,4,2,aeorbt,WIN 
tump,4,4,14,aeoiursnlmpbcdghjt,LOSS
nimb,4,4,3,aeoinbm,WIN 
sedat,5,5,4,arlnedbst,WIN 
moil,4,4,6,aeolibcfkm,WIN 
genie,5,4,6,aersdlncig,WIN 
netty,5,4,9,aeiyrnlsbdfot,LOSS
za,2,2,17,abcdefghklmnprstwyz,LOSS
leep,4,3,4,aerldkp,WIN 
biod,4,4,8,aeosrlhnuibd,LOSS
retry,5,4,3,aeiyrdt,WIN 
foder,5,5,6,aerotmsdbcf,WIN 
moe,3,3,15,aotdybnpgsrwecfhjm,LOSS
tom,3,3,6,aotdegilm,WIN 
hirse,5,5,7,aeoinltrsbgh,LOSS
durra,5,4,2,aiourd,WIN 
bent,4,4,2,aetsnb,WIN 
ahong,5,5,1,aeongh,WIN 
rope,4,4,7,aeorbdklmnp,LOSS
sophy,5,5,4,aeoylrsph,WIN 
hevi,4,4,8,aetrlnskdhiv,LOSS
nome,4,4,5,aeordtlnm,WIN 
bredi,5,5,5,aesrtcgdbi,WIN 
chit,4,4,10,aeoirshwcdlnpt,LOSS
aggie,5,4,0,aeig,WIN 
alamo,5,4,3,aeislmo,WIN 
ink,3,3,5,aoeindgk,WIN 
thro,4,4,5,aeoiuyhrt,WIN 
harm,4,4,3,ardmbfh,WIN 
naut,4,4,4,arniestu,WIN 
glial,5,4,1,arlig,WIN 
slich,5,5,5,aeoistklch,WIN 
digor,5,5,5,aeoinrvtdg,WIN 
boni,4,4,8,aeolrtngdkib,LOSS
kend,4,4,7,aetrlndbfhk,LOSS
poral,5,5,6,arsolbcghmp,WIN 
crom,4,4,7,aeosrtpwbcm,LOSS
paba,4,3,2,amrpb,WIN 
twale,5,5,3,arslewdt,WIN 
drona,5,5,2,aiohrnd,WIN 
stint,5,4,4,aeoistln,WIN 
paty,4,4,9,arnlesthykmop,LOSS
pilum,5,5,6,aeoiyhuslmp,WIN 
hoist,5,5,6,aeoyuitsbfh,WIN 
don,3,3,8,aotdbceglmn,LOSS
rus,3,3,10,aoeiugbtdmnrs,LOSS
rogue,5,5,1,aeorug,WIN 
jowel,5,5,6,aeronlwbdhj,WIN 
tulu,4,3,7,aeoiulhpst,LOSS
flag,4,4,2,arlsfg,WIN 
cerer,5,3,1,aerc,WIN 
