date,trump,hamster,tricycle
2020-04-01,22,70,49
2020-04-02,20,80,39
2020-04-03,19,84,40
2020-04-04,26,81,22
2020-04-05,23,100,56
2020-04-06,26,71,58
2020-04-07,24,95,51
2020-04-08,26,85,10
2020-04-09,21,80,30
2020-04-10,22,86,54
2020-04-11,25,92,100
2020-04-12,22,79,44
2020-04-13,23,84,63
2020-04-14,46,79,61
2020-04-15,43,83,10
2020-04-16,34,76,70
2020-04-17,27,75,49
2020-04-18,30,86,42
2020-04-19,31,84,88
2020-04-20,24,83,29
2020-04-21,23,65,69
2020-04-22,23,88,20
2020-04-23,20,71,77
2020-04-24,100,93,41
2020-04-25,62,91,22
2020-04-26,43,95,33
2020-04-27,34,84,39
2020-04-28,29,84,94
2020-04-29,27,73,47
2020-04-30,26,85,36
2020-05-01,30,83,87
